host, uptime
SW1, [{'software_image': 'I86BI_LINUXL2-ADVENTERPRISEK9-M', 'version': '15.2(CML_NIGHTLY_20180510)FLO_DSGS7', 'release': '', 'rommon': 'Bootstrap', 'hostname': 'SW6', 'uptime': '32 minutes', 'uptime_years': '', 'uptime_weeks': '', 'uptime_days': '', 'uptime_hours': '', 'uptime_minutes': '32', 'reload_reason': 'Unknown reason', 'running_image': '/opt/gns3/images/IOU/i86bi_LinuxL2-AdvEnterpriseK9-M_152_May_201', 'hardware': [], 'serial': ['2048002'], 'config_register': '0x0', 'mac_address': [], 'restarted': ''}]
SW2, [{'software_image': 'I86BI_LINUXL2-ADVENTERPRISEK9-M', 'version': '15.2(CML_NIGHTLY_20180510)FLO_DSGS7', 'release': '', 'rommon': 'Bootstrap', 'hostname': 'SW7', 'uptime': '32 minutes', 'uptime_years': '', 'uptime_weeks': '', 'uptime_days': '', 'uptime_hours': '', 'uptime_minutes': '32', 'reload_reason': 'Unknown reason', 'running_image': '/opt/gns3/images/IOU/i86bi_LinuxL2-AdvEnterpriseK9-M_152_May_201', 'hardware': [], 'serial': ['2048003'], 'config_register': '0x0', 'mac_address': [], 'restarted': ''}]
SW3, [{'software_image': 'I86BI_LINUXL2-ADVENTERPRISEK9-M', 'version': '15.2(CML_NIGHTLY_20180510)FLO_DSGS7', 'release': '', 'rommon': 'Bootstrap', 'hostname': 'SW8', 'uptime': '32 minutes', 'uptime_years': '', 'uptime_weeks': '', 'uptime_days': '', 'uptime_hours': '', 'uptime_minutes': '32', 'reload_reason': 'Unknown reason', 'running_image': '/opt/gns3/images/IOU/i86bi_LinuxL2-AdvEnterpriseK9-M_152_May_201', 'hardware': [], 'serial': ['2048004'], 'config_register': '0x0', 'mac_address': [], 'restarted': ''}]
